Generation 0, Best Fitness: 5.999999999999999
Generation 1, Best Fitness: 6.199999999999998
Generation 2, Best Fitness: 6.3
Generation 3, Best Fitness: 6.899999999999999
Generation 4, Best Fitness: 6.599999999999999
Generation 5, Best Fitness: 7.099999999999999
Generation 6, Best Fitness: 7.699999999999999
Generation 7, Best Fitness: 7.799999999999999
Generation 8, Best Fitness: 7.799999999999999
Generation 9, Best Fitness: 7.8999999999999995
Generation 10, Best Fitness: 8.2
Generation 11, Best Fitness: 8.2
Generation 12, Best Fitness: 8.399999999999999
Generation 13, Best Fitness: 8.2
Generation 14, Best Fitness: 8.399999999999999
Generation 15, Best Fitness: 8.499999999999998
Generation 16, Best Fitness: 8.399999999999999
Generation 17, Best Fitness: 8.499999999999998
Generation 18, Best Fitness: 8.499999999999998
Generation 19, Best Fitness: 8.499999999999998
Generation 20, Best Fitness: 8.499999999999998
Generation 21, Best Fitness: 8.499999999999998
Generation 22, Best Fitness: 8.499999999999998
Generation 23, Best Fitness: 8.499999999999998
Generation 24, Best Fitness: 8.499999999999998
Generation 25, Best Fitness: 8.499999999999998
Generation 26, Best Fitness: 8.499999999999998
Generation 27, Best Fitness: 8.499999999999998
Generation 28, Best Fitness: 8.499999999999998
Generation 29, Best Fitness: 8.499999999999998
Generation 30, Best Fitness: 8.499999999999998
Generation 31, Best Fitness: 8.399999999999999
Generation 32, Best Fitness: 8.399999999999999
Generation 33, Best Fitness: 8.399999999999999
Generation 34, Best Fitness: 8.399999999999999
Generation 35, Best Fitness: 8.399999999999999
Generation 36, Best Fitness: 8.399999999999999
Generation 37, Best Fitness: 8.399999999999999
Generation 38, Best Fitness: 8.399999999999999
Generation 39, Best Fitness: 8.399999999999999
Generation 40, Best Fitness: 8.399999999999999
Generation 41, Best Fitness: 8.399999999999999
Generation 42, Best Fitness: 8.399999999999999
Generation 43, Best Fitness: 8.399999999999999
Generation 44, Best Fitness: 8.399999999999999
Generation 45, Best Fitness: 8.399999999999999
Generation 46, Best Fitness: 8.399999999999999
Generation 47, Best Fitness: 8.399999999999999
Generation 48, Best Fitness: 8.399999999999999
Generation 49, Best Fitness: 8.399999999999999
Generation 50, Best Fitness: 8.399999999999999
Generation 51, Best Fitness: 8.399999999999999
Generation 52, Best Fitness: 8.2
Generation 53, Best Fitness: 8.2
Generation 54, Best Fitness: 8.2
Generation 55, Best Fitness: 8.2
Generation 56, Best Fitness: 8.2
Generation 57, Best Fitness: 8.2
Generation 58, Best Fitness: 8.2
Generation 59, Best Fitness: 8.2
Generation 60, Best Fitness: 8.2
Generation 61, Best Fitness: 8.2
Generation 62, Best Fitness: 8.2
Generation 63, Best Fitness: 8.2
Generation 64, Best Fitness: 8.2
Generation 65, Best Fitness: 8.2
Generation 66, Best Fitness: 8.2
Generation 67, Best Fitness: 8.2
Generation 68, Best Fitness: 8.2
Generation 69, Best Fitness: 8.2
Generation 70, Best Fitness: 8.2
Generation 71, Best Fitness: 8.2
Generation 72, Best Fitness: 8.2
Generation 73, Best Fitness: 8.2
Generation 74, Best Fitness: 8.2
Generation 75, Best Fitness: 8.2
Generation 76, Best Fitness: 8.2
Generation 77, Best Fitness: 8.2
Generation 78, Best Fitness: 8.2
Generation 79, Best Fitness: 8.2
Generation 80, Best Fitness: 8.2
Generation 81, Best Fitness: 8.2
Generation 82, Best Fitness: 8.2
Generation 83, Best Fitness: 8.2
Generation 84, Best Fitness: 8.2
Generation 85, Best Fitness: 8.2
Generation 86, Best Fitness: 8.2
Generation 87, Best Fitness: 8.2
Generation 88, Best Fitness: 8.2
Generation 89, Best Fitness: 8.2
Generation 90, Best Fitness: 8.2
Generation 91, Best Fitness: 8.2
Generation 92, Best Fitness: 8.2
Generation 93, Best Fitness: 8.2
Generation 94, Best Fitness: 8.2
Generation 95, Best Fitness: 8.2
Generation 96, Best Fitness: 8.2
Generation 97, Best Fitness: 8.2
Generation 98, Best Fitness: 8.2
Generation 99, Best Fitness: 8.2
